order_item_id,order_id,product_id,quantity,unit_price
1,1,12,1,45.24
2,1,30,2,66.43
3,2,32,3,145.96
4,2,23,3,85.67
5,3,21,1,120.34
6,3,42,2,59.21
7,3,14,1,187.19
8,4,11,2,10.05
9,5,20,1,101.16
10,5,1,3,162.76
11,5,19,2,17.14
12,6,28,3,10.64
13,6,11,2,10.05
14,7,21,3,120.34
15,8,22,2,61.62
16,8,29,2,98.79
17,8,29,3,98.79
18,9,2,3,112.3
19,9,11,3,10.05
20,9,8,3,89.33
21,9,5,1,108.83
22,10,25,3,73.91
23,11,3,2,135.71
24,11,36,1,18.57
25,12,8,1,89.33
26,12,10,3,198.16
27,13,46,3,124.15
28,13,46,1,124.15
29,13,48,1,197.95
30,14,33,3,121.93
31,14,36,2,18.57
32,14,30,2,66.43
33,14,44,3,196.64
34,15,11,2,10.05
35,15,32,2,145.96
36,15,46,1,124.15
37,15,49,2,151.24
38,16,11,3,10.05
39,16,42,3,59.21
40,17,21,1,120.34
41,17,46,2,124.15
42,18,35,2,182.96
43,18,28,3,10.64
44,18,15,3,23.31
45,18,16,1,11.8
46,19,1,1,162.76
47,19,29,1,98.79
48,19,6,2,91.1
49,19,22,1,61.62
50,20,23,3,85.67
51,21,2,2,112.3
52,21,42,3,59.21
53,21,12,1,45.24
54,21,33,1,121.93
55,22,11,2,10.05
56,22,17,1,20.01
57,22,37,1,30.8
58,23,34,3,62.68
59,23,45,2,178.0
60,23,11,2,10.05
61,24,11,2,10.05
62,25,31,1,172.04
63,25,32,3,145.96
64,26,26,3,109.28
65,26,48,3,197.95
66,26,30,1,66.43
67,26,12,1,45.24
68,27,3,1,135.71
69,27,10,1,198.16
70,28,16,1,11.8
71,29,34,1,62.68
72,29,28,3,10.64
73,30,29,1,98.79
74,30,25,1,73.91
75,30,18,1,26.82
76,31,6,2,91.1
77,31,49,1,151.24
78,32,31,2,172.04
79,32,44,2,196.64
80,32,24,3,27.42
81,32,40,2,191.72
82,33,19,2,17.14
83,33,38,1,84.41
84,33,21,3,120.34
85,33,1,2,162.76
86,34,34,2,62.68
87,35,27,2,149.13
88,35,2,2,112.3
89,35,46,1,124.15
90,35,7,2,176.57
91,36,15,3,23.31
92,37,14,1,187.19
93,37,33,2,121.93
94,37,5,1,108.83
95,37,9,3,97.77
96,38,31,1,172.04
97,38,12,2,45.24
98,38,41,1,161.62
99,38,2,2,112.3
100,39,50,3,22.35
101,39,37,3,30.8
102,39,49,3,151.24
103,39,37,3,30.8
104,40,23,3,85.67
105,41,44,1,196.64
106,41,31,1,172.04
107,42,33,2,121.93
108,43,3,3,135.71
109,43,36,3,18.57
110,43,4,2,150.19
111,44,23,3,85.67
112,44,9,3,97.77
113,45,9,2,97.77
114,45,29,2,98.79
115,46,7,1,176.57
116,47,23,1,85.67
117,47,20,2,101.16
118,47,50,3,22.35
119,48,34,1,62.68
120,48,40,3,191.72
121,49,38,1,84.41
122,49,10,3,198.16
123,49,34,1,62.68
124,50,6,2,91.1
125,50,32,3,145.96
126,50,16,3,11.8
127,50,50,1,22.35
128,51,28,2,10.64
129,51,34,2,62.68
130,51,3,1,135.71
131,52,37,3,30.8
132,52,30,2,66.43
133,52,16,2,11.8
134,52,3,3,135.71
135,53,26,1,109.28
136,53,4,1,150.19
137,54,27,1,149.13
138,55,45,1,178.0
139,55,5,3,108.83
140,55,33,1,121.93
141,56,1,2,162.76
142,57,43,1,121.83
143,58,34,1,62.68
144,58,29,2,98.79
145,59,5,1,108.83
146,59,33,2,121.93
147,59,41,2,161.62
148,60,21,2,120.34
149,60,7,3,176.57
150,61,1,2,162.76
151,62,25,2,73.91
152,63,5,3,108.83
153,64,9,2,97.77
154,64,43,2,121.83
155,64,48,2,197.95
156,64,35,1,182.96
157,65,50,1,22.35
158,66,3,1,135.71
159,66,38,2,84.41
